74,5,4,"Malzahar","5.3%","49.7%","3.8%","3.8%","0.0000"
75,5,4,"Pantheon","5.3%","49.0%","0.9%","0.9%","0.0006"
76,6,2,"Shen","5.2%","51.6%","0.9%","0.9%","0.0002"
77,4,2,"Heimerdinger","5.2%","51.7%","8.0%","8.0%","0.0003"
78,1,5,"Wukong","5.1%","51.6%","2.3%","2.3%","0.0017"
79,9,4,"Nilah","5.1%","54.1%","10.5%","10.5%","0.0059"
80,8,4,"Zilean","5.1%","51.8%","1.9%","1.9%","0.0000"
81,3,2,"Brand","5.1%","50.3%","2.5%","2.5%","0.0002"
82,6,2,"Ahri","5.0%","49.0%","1.7%","1.7%","0.0008"
83,4,3,"Renekton","5.0%","48.6%","2.6%","2.6%","0.0011"
84,8,4,"Nasus","4.9%","50.3%","3.8%","3.8%","0.0011"
85,1,2,"Vladimir","4.8%","49.4%","5.4%","5.4%","0.0033"
86,2,1,"Leona","4.8%","49.8%","5.4%","5.4%","0.0000"
87,1,2,"Renata Glasc","4.8%","51.9%","3.4%","3.4%","0.0000"
88,1,4,"Garen","4.7%","50.8%","1.6%","1.6%","0.0006"
89,1,4,"Evelynn","4.7%","50.9%","8.7%","8.7%","0.0006"
90,7,5,"Seraphine","4.6%","50.4%","0.9%","0.9%","0.0001"
91,6,2,"Xayah","4.4%","48.3%","0.4%","0.4%","0.0019"
92,6,2,"Maokai","4.4%","51.9%","0.6%","0.6%","0.0000"
93,6,1,"Aphelios","4.3%","45.6%","0.6%","0.6%","0.0028"
94,9,4,"Teemo","4.3%","49.2%","3.5%","3.5%","0.0003"
95,2,1,"Gragas","4.2%","49.1%","0.4%","0.4%","0.0006"
96,3,2,"Elise","4.0%","51.8%","5.6%","5.6%","0.0008"
97,1,4,"Malphite","4.0%","49.8%","2.1%","2.1%","0.0001"
98,1,5,"Sivir","4.0%","49.4%","0.9%","0.9%","0.0029"
99,1,5,"Vi","3.9%","51.8%","0.7%","0.7%","0.0015"
100,5,2,"Veigar","3.9%","49.2%","1.2%","1.2%","0.0005"
101,3,4,"Bel'Veth","3.8%","50.0%","13.4%","13.4%","0.0015"
102,3,3,"LeBlanc","3.8%","46.6%","5.8%","5.8%","0.0004"
103,7,1,"Bardo","3.8%","49.7%","0.4%","0.4%","0.0000"
104,8,4,"Ryze","3.8%","46.6%","0.3%","0.3%","0.0009"
105,4,5,"Ornn","3.7%","50.9%","0.8%","0.8%","0.0001"
106,5,1,"Sona","3.7%","54.0%","0.2%","0.2%","0.0000"
107,2,1,"Illaoi","3.7%","51.1%","3.4%","3.4%","0.0011"
108,1,2,"Qiyana","3.7%","46.7%","0.9%","0.9%","0.0011"
109,7,3,"Fiddlesticks","3.5%","51.8%","2.1%","2.1%","0.0003"
110,5,1,"Zyra","3.5%","50.3%","1.7%","1.7%","0.0000"
111,5,4,"Akshan","3.5%","50.6%","3.7%","3.7%","0.0014"
112,5,2,"Zoe","3.5%","48.2%","0.9%","0.9%","0.0005"
113,5,5,"Tryndamere","3.5%","50.4%","2.4%","2.4%","0.0025"
114,5,1,"Nocturne","3.4%","51.8%","1.4%","1.4%","0.0007"
115,8,1,"Cho'Gath","3.3%","49.5%","1.0%","1.0%","0.0007"
116,1,2,"Gwen","3.3%","49.6%","0.9%","0.9%","0.0021"
117,5,2,"Vel'Koz","3.2%","51.1%","0.4%","0.4%","0.0004"
118,1,3,"Rakan","3.2%","50.5%","0.2%","0.2%","0.0000"
119,2,2,"Fizz","3.2%","50.1%","3.1%","3.1%","0.0014"
120,8,5,"Tahm Kench","3.1%","48.8%","0.9%","0.9%","0.0002"
121,4,4,"Volibear","3.1%","49.9%","0.9%","0.9%","0.0004"
122,6,2,"Alistar","3.1%","48.5%","0.7%","0.7%","0.0000"
123,4,1,"Anivia","3.0%","50.7%","2.3%","2.3%","0.0007"
124,2,4,"Nidalee","3.0%","47.9%","1.0%","1.0%","0.0012"
125,7,5,"Singed","3.0%","52.3%","0.5%","0.5%","0.0005"
126,2,2,"Nunu y Willump","2.9%","49.5%","0.5%","0.5%","0.0003"
127,6,3,"Rumble","2.9%","48.7%","0.5%","0.5%","0.0005"
128,5,1,"Olaf","2.8%","51.4%","1.7%","1.7%","0.0056"
129,2,4,"Kalista","2.8%","47.3%","0.7%","0.7%","0.0030"
130,9,5,"Kayle","2.8%","50.1%","0.5%","0.5%","0.0023"
131,1,2,"Jayce","2.8%","48.4%","0.3%","0.3%","0.0012"
132,1,1,"Azir","2.8%","46.6%","0.7%","0.7%","0.0009"
133,2,4,"Trundle","2.6%","48.1%","1.7%","1.7%","0.0001"
134,2,4,"Karthus","2.5%","49.9%","0.9%","0.9%","0.0008"
135,4,2,"Kog'Maw","2.5%","50.8%","0.4%","0.4%","0.0031"
136,2,2,"Lissandra","2.5%","48.1%","0.8%","0.8%","0.0005"
137,7,3,"Cassiopeia","2.4%","50.6%","1.5%","1.5%","0.0009"
138,2,4,"Yorick","2.4%","49.0%","1.7%","1.7%","0.0001"
139,1,1,"Urgot","2.3%","50.1%","0.6%","0.6%","0.0013"
140,1,2,"Twisted Fate","2.3%","47.6%","0.1%","0.1%","0.0001"
141,1,5,"Gnar","2.3%","47.5%","0.5%","0.5%","0.0001"
142,6,2,"Galio","2.2%","51.3%","0.3%","0.3%","0.0000"
143,3,5,"Shyvana","2.2%","50.2%","0.6%","0.6%","0.0017"
144,8,1,"Poppy","2.2%","48.6%","1.0%","1.0%","0.0004"
145,3,2,"Jarvan IV","2.2%","48.4%","0.2%","0.2%","0.0003"
146,2,3,"Kled","2.2%","51.5%","0.7%","0.7%","0.0004"
147,8,4,"Ziggs","2.1%","50.6%","0.2%","0.2%","0.0001"
148,9,5,"Taliyah","2.1%","48.8%","0.4%","0.4%","0.0013"
149,10,1,"Orianna","2.0%","49.4%","0.1%","0.1%","0.0004"
150,10,2,"Xin Zhao","2.0%","49.3%","0.3%","0.3%","0.0015"
151,10,1,"Taric","1.9%","51.2%","0.3%","0.3%","0.0000"
152,7,1,"Braum","1.8%","47.2%","0.3%","0.3%","0.0000"
153,6,4,"Neeko","1.7%","49.9%","0.2%","0.2%","0.0002"
154,8,2,"Rell","1.7%","51.7%","0.4%","0.4%","0.0000"
155,9,4,"Annie","1.4%","49.3%","0.3%","0.3%","0.0004"
156,2,4,"Quinn","1.4%","50.8%","0.5%","0.5%","0.0006"
157,3,2,"Kennen","1.4%","48.8%","0.3%","0.3%","0.0006"
158,1,1,"Rek'Sai","1.4%","49.5%","1.2%","1.2%","0.0007"
159,1,5,"Corki","1.4%","49.3%","0.2%","0.2%","0.0031"
160,2,2,"Ivern","1.1%","51.7%","0.3%","0.3%","0.0000"
161,1,4,"Skarner","0.9%","51.1%","0.1%","0.1%","0.0000"
162,4,2,"Aurelion Sol","0.6%","49.5%","0.3%","0.3%","0.0024"
